CMPNYCD,STOCK_HANDLING_CUSTOMER_NUMBER,STOCK_POINT,SLIP_NUMBER,LINE_NUMBER,ITEM_TYPE,F_LENS_RL_TYPE,F_LENS_LENS_CODE,F_LENS_COLOR_COAT_CODE,F_LENS_NAME,F_LENS_COLOR,F_LENS_COAT,F_LENS_CYLINDER_TYPE,F_LENS_SPHERE,F_LENS_CYLINDER,F_LENS_AXIS,F_LENS_ADDITION,F_LENS_DIAMETER,F_LENS_UNIVERSAL_PRODUCT_NAME,S_LENS_RL_TYPE,S_LENS_CODE,S_LENS_COLOR_COAT_CODE,S_LENS_NAME,S_LENS_COLOR,S_LENS_MAKER,S_LENS_NOMINAL_BASE_CURVE,S_LENS_DIAMETER,S_LENS_THICKNESS_TYPE,S_LENS_ADDITION,S_LENS_UNIVERSAL_PRODUCT_NAME,FRAME_CODE,FRAME_MAKER,FRAME_NAME,FRAME_EYE_SIZE,FRAME_DBL,FRAME_COLOR,FRAME_PARTS_TYPE,INSTRUMENT_CODE,INSTRUMENT_NAME,INSTRUMENT_PARTS_NUMBER,STOCK_IO_QUANTITY,RECEIVE_NUMBER,TRANSACTION_CODE,SUB_TRANSACTION_CODE,TRANSACTION_DATE,TRANSACTION_TIME
AA30,060003,04,77500727,0001,ST,P,360107100075,00001670,"SL16AS      ","        ","HARD-VP ",M,- 1.00,"      ","   ","    ",75,"PNL160UV75SHVVSY    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,00000000,14,00,20221230,0
AA30,060003,04,77500727,0004,ST,P,360107100075,00001670,"SL16AS      ","        ","HARD-VP ",M,- 3.75,- 0.75,"   ","    ",75,"PNL160UV75SHVVSY    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,00000000,14,00,20221230,0
AA30,060003,04,77500727,0005,ST,P,360107100075,00001670,"SL16AS      ","        ","HARD-VP ",M,- 3.00,- 1.00,"   ","    ",75,"PNL160UV75SHVVSY    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,00000000,14,00,20221230,0
AA30,060003,04,77500727,0006,ST,P,360107100075,00001670,"SL16AS      ","        ","HARD-VP ",M,- 5.25,- 0.50,"   ","    ",75,"PNL160UV75SHVVSY    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,00000000,14,00,20221230,0
AA30,060003,04,77500727,0007,ST,P,360107100075,00001670,"SL16AS      ","        ","HARD-VP ",M,- 6.50,- 1.00,"   ","    ",75,"PNL160UV75SHVVSY    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,00000000,14,00,20221230,0
AA30,060003,04,77500727,0008,ST,P,360107100075,00001670,"SL16AS      ","        ","HARD-VP ",M,- 6.25,- 1.25,"   ","    ",75,"PNL160UV75SHVVSY    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,00000000,14,00,20221230,0
AA30,060003,04,77500729,0001,ST,P,363107100075,00001670,"SL16AS      ","        ","UV420   ",M,- 6.50,"      ","   ","    ",70,"PNL155____SHHM__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,00000000,14,00,20221230,0
AA30,060003,04,77500729,0002,ST,P,363107100075,00001670,"SL16AS      ","        ","UV420   ",M,- 3.25,- 0.50,"   ","    ",75,"PNL155____SHHM__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,00000000,14,00,20221230,0
AA30,060003,04,77500729,0003,ST,P,363107100075,00001670,"SL16AS      ","        ","UV420   ",M,- 3.50,- 0.50,"   ","    ",75,"PNL155____SHHM__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",2,00000000,14,00,20221230,0
AA30,060003,04,77500729,0004,ST,P,363107100075,00001670,"SL16AS      ","        ","UV420   ",M,- 3.75,- 1.50,"   ","    ",75,"PNL155____SHHM__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,00000000,14,00,20221230,0
AA30,060003,04,77500729,0005,ST,P,363107100075,00001670,"SL16AS      ","        ","UV420   ",M,- 4.00,- 1.50,"   ","    ",75,"PNL155____SHHM__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,00000000,14,00,20221230,0
AA30,060003,04,77500729,0006,ST,P,363107100075,00001670,"SL16AS      ","        ","UV420   ",M,- 5.50,- 0.75,"   ","    ",75,"PNL155____SHHM__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,00000000,14,00,20221230,0
AA30,060003,04,77500729,0007,ST,P,363107100075,00001670,"SL16AS      ","        ","UV420   ",M,- 6.25,- 0.75,"   ","    ",70,"PNL155____SHHM__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",2,00000000,14,00,20221230,0
AA30,060003,04,77500729,0008,ST,P,363107100075,00001670,"SL16AS      ","        ","UV420   ",M,- 6.50,- 0.75,"   ","    ",70,"PNL155____SHHM__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,00000000,14,00,20221230,0
AA30,060003,04,77500729,0009,ST,P,363107100075,00001670,"SL16AS      ","        ","UV420   ",M,- 5.25,- 1.00,"   ","    ",75,"PNL155____SHHM__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,00000000,14,00,20221230,0
AA30,060003,04,77500699,0001,ST,P,359107100075,00001638,"NL155       ","        ","HARD-BA ",M,- 0.50,"      ","   ","    ",75,"PNL155__75MHBA__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,00000000,14,00,20221230,0
AA30,060003,04,77500699,0002,ST,P,359107100075,00001638,"NL155       ","        ","HARD-BA ",M,- 0.75,"      ","   ","    ",75,"PNL155__75MHBA__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,00000000,14,00,20221230,0
AA30,060003,04,77500699,0003,ST,P,359107100075,00001638,"NL155       ","        ","HARD-BA ",M,- 1.50,"      ","   ","    ",75,"PNL155__75MHBA__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,00000000,14,00,20221230,0
AA30,060003,04,77500699,0004,ST,P,359107100075,00001638,"NL155       ","        ","HARD-BA ",M,- 4.00,"      ","   ","    ",75,"PNL155__75MHBA__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,00000000,14,00,20221230,0
AA30,060003,04,77500699,0005,ST,P,359107100075,00001638,"NL155       ","        ","HARD-BA ",M,- 4.25,"      ","   ","    ",75,"PNL155__75MHBA__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",2,00000000,14,00,20221230,0
AA30,060003,04,77500699,0006,ST,P,359107100075,00001638,"NL155       ","        ","HARD-BA ",M,+ 0.25,"      ","   ","    ",70,"PNL155__70MHBA__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,00000000,14,00,20221230,0
AA30,060003,04,77500699,0007,ST,P,359107100075,00001638,"NL155       ","        ","HARD-BA ",M,+ 0.50,"      ","   ","    ",70,"PNL155__70MHBA__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,00000000,14,00,20221230,0
AA30,060003,04,77500699,0008,ST,P,359107100075,00001638,"NL155       ","        ","HARD-BA ",M,+ 2.00,"      ","   ","    ",70,"PNL155__70MHBA__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",2,00000000,14,00,20221230,0
