Completed,CMPNYCD,STOCK_HANDLING_CUSTOMER_NUMBER,STOCK_POINT,SLIP_NUMBER,TRANSACTION_CODE,SUB_TRANSACTION_CODE,TRANSACTION_DATE,TRANSACTION_TIME,PURCHASE_ORDER_NUMBER,SHIPMENT_NUMBER,SUPPLIER_COMPANY_CODE,SUPPLIER_NUMBER,TOTDETLINE,INTRANSIT_STOCK_POINT,RECEIVE_NUMBER,RX_ARRANGEMENT_NUMBER,ORGINAL_STOCK_POINT
Yes,AA30,060000,01,77501604,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794840,243294,00
Yes,AA30,060000,01,77501606,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794801,242994,00
Yes,AA30,060000,01,77501607,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794801,242994,00
Yes,AA30,060000,01,77501497,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794763,242677,00
Yes,AA30,060000,01,77501498,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794763,242677,00
Yes,AA30,060000,01,77501609,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794050,237247,00
Yes,AA30,060000,01,77501610,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794050,237247,00
Yes,AA30,060000,01,77501612,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13793822,235999,00
Yes,AA30,060000,01,77501613,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13793822,235999,00
Yes,AA30,060003,04,77501623,14,00,20221230,0,"          ","                ","    ","      ",4,64,00000000,"     0",01
Yes,AA30,060000,01,77501625,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13793931,236448,00
Yes,AA30,060000,01,77501626,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13793931,236448,00
Yes,AA30,060003,04,77501628,13,00,20221230,0,"          ","                ","    ","      ",4,61,00000000,"     0",04
Yes,AA30,060000,04,77501633,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796266,724556,00
Yes,AA30,060003,04,77501634,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13796120,724502,00
Yes,AA30,060003,04,77501635,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13796120,724502,00
Yes,AA30,060003,04,77501637,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13796121,724512,00
Yes,AA30,060003,04,77501638,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13796121,724512,00
Yes,AA30,060003,04,77501640,31,04,20221230,0,"          ","                ","    ","      ",1,"  ",13796171,724523,00
Yes,AA30,060003,04,77501641,32,01,20221230,0,"          ","                ","    ","      ",1,"  ",13796171,724523,00
Yes,AA30,060003,04,77501643,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13795797,724443,00
Yes,AA30,060003,04,77501644,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13795797,724443,00
Yes,AA30,060003,04,77501646,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13796201,724534,00
Yes,AA30,060003,04,77501647,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13796201,724534,00
Yes,AA30,060003,04,77501649,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13796240,724545,00
Yes,AA30,060003,04,77501650,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13796240,724545,00
Yes,AA30,060000,01,80646528,21,01,20221230,0,"13795496  ","13795496        ",AA30,050002,1,"  ",13795496,247783,00
Yes,AA30,060000,01,80646529,21,01,20221230,0,"13795357  ","13795357        ",AA30,050002,1,"  ",13795357,246940,00
