Completed,CMPNYCD,STOCK_HANDLING_CUSTOMER_NUMBER,STOCK_POINT,SLIP_NUMBER,TRANSACTION_CODE,SUB_TRANSACTION_CODE,TRANSACTION_DATE,TRANSACTION_TIME,PURCHASE_ORDER_NUMBER,SHIPMENT_NUMBER,SUPPLIER_COMPANY_CODE,SUPPLIER_NUMBER,TOTDETLINE,INTRANSIT_STOCK_POINT,RECEIVE_NUMBER,RX_ARRANGEMENT_NUMBER,ORGINAL_STOCK_POINT
Yes,AA30,060000,01,80646321,21,01,20221230,0,"13794412  ","13794412        ",AA30,050002,2,"  ",13794412,240220,00
Yes,AA30,060000,01,80646322,21,01,20221230,0,"13794491  ","13794491        ",AA30,050002,2,"  ",13794491,240897,00
Yes,AA30,060000,01,80646323,21,01,20221230,0,"13794571  ","13794571        ",AA30,050002,2,"  ",13794571,241437,00
Yes,AA30,060000,01,80646324,21,01,20221230,0,"13795116  ","13795116        ",AA30,050002,2,"  ",13795116,245391,00
Yes,AA30,060000,01,80646325,21,01,20221230,0,"13794462  ","13794462        ",AA30,050002,2,"  ",13794462,240627,00
Yes,AA30,060000,01,80646326,21,01,20221230,0,"13795413  ","13795413        ",AA30,050002,2,"  ",13795413,247364,00
Yes,AA30,060000,01,80646327,21,01,20221230,0,"13795152  ","13795152        ",AA30,050002,2,"  ",13795152,245631,00
Yes,AA30,060000,01,80646328,21,01,20221230,0,"13795181  ","13795181        ",AA30,050002,1,"  ",13795181,245777,00
Yes,AA30,060000,01,80646329,21,01,20221230,0,"13794825  ","13794825        ",AA30,050002,2,"  ",13794825,243206,00
Yes,AA30,060000,01,80646330,21,01,20221230,0,"13794450  ","13794450        ",AA30,050002,2,"  ",13794450,240503,00
Yes,AA30,060000,01,80646331,21,01,20221230,0,"13794993  ","13794993        ",AA30,050002,1,"  ",13794993,244333,00
Yes,AA30,060000,01,80646332,21,01,20221230,0,"13795563  ","13795563        ",AA30,050002,2,"  ",13795563,248276,00
Yes,AA30,060000,01,80646333,21,01,20221230,0,"13795113  ","13795113        ",AA30,050002,2,"  ",13795113,245370,00
Yes,AA30,060000,01,80646336,21,01,20221230,0,"13793931  ","13793931        ",AA30,050002,2,"  ",13793931,236448,00
Yes,AA30,060000,01,80646334,21,01,20221230,0,"13794946  ","13794946        ",AA30,050002,2,"  ",13794946,244107,00
Yes,AA30,060000,01,80646335,21,01,20221230,0,"13794847  ","13794847        ",AA30,050002,2,"  ",13794847,243363,00
Yes,AA30,060000,01,80646337,21,01,20221230,0,"13794940  ","13794940        ",AA30,050002,2,"  ",13794940,244049,00
Yes,AA30,060000,01,80646338,21,01,20221230,0,"13794481  ","13794481        ",AA30,050002,2,"  ",13794481,240795,00
Yes,AA30,060000,01,80646339,21,01,20221230,0,"13794369  ","13794369        ",AA30,050002,2,"  ",13794369,239978,00
Yes,AA30,060000,01,80646340,21,01,20221230,0,"13795201  ","13795201        ",AA30,050002,2,"  ",13795201,245948,00
Yes,AA30,060000,01,80646341,21,01,20221230,0,"13795238  ","13795238        ",AA30,050002,2,"  ",13795238,246248,00
Yes,AA30,060000,01,80646342,21,01,20221230,0,"13794633  ","13794633        ",AA30,050002,1,"  ",13794633,241947,00
Yes,AA30,060000,01,80646343,21,01,20221230,0,"13795176  ","13795176        ",AA30,050002,2,"  ",13795176,245744,00
Yes,AA30,060000,01,80646344,21,01,20221230,0,"13795006  ","13795006        ",AA30,050002,2,"  ",13795006,244934,00
Yes,AA30,060000,01,80646345,21,01,20221230,0,"13795101  ","13795101        ",AA30,050002,2,"  ",13795101,245290,00
Yes,AA30,060000,01,80646346,21,01,20221230,0,"13795033  ","13795033        ",AA30,050002,2,"  ",13795033,245165,00
Yes,AA30,060000,01,80646347,21,01,20221230,0,"13795099  ","13795099        ",AA30,050002,2,"  ",13795099,245289,00
Yes,AA30,060000,01,80646348,21,01,20221230,0,"30086332  ","30086332        ",AA30,050002,2,"  ",30086332,236540,00
Yes,AA30,060000,01,80646349,21,01,20221230,0,"13794121  ","13794121        ",AA30,050002,1,"  ",13794121,237746,00
Yes,AA30,060000,01,80646350,21,01,20221230,0,"13794125  ","13794125        ",AA30,050002,2,"  ",13794125,237779,00
Yes,AA30,060000,01,80646351,21,01,20221230,0,"13793804  ","13793804        ",AA30,050002,2,"  ",13793804,235933,00
Yes,AA30,060000,01,80646352,21,01,20221230,0,"13795228  ","13795228        ",AA30,050002,2,"  ",13795228,246157,00
Yes,AA30,060000,01,80646353,21,01,20221230,0,"13794929  ","13794929        ",AA30,050002,2,"  ",13794929,243942,00
Yes,AA30,060000,01,80646354,21,01,20221230,0,"13794830  ","13794830        ",AA30,050002,2,"  ",13794830,243250,00
Yes,AA30,060000,01,80646355,21,01,20221230,0,"13794730  ","13794730        ",AA30,050002,2,"  ",13794730,242600,00
Yes,AA30,060000,01,80646356,21,01,20221230,0,"13794034  ","13794034        ",AA30,050002,2,"  ",13794034,237076,00
Yes,AA30,060000,01,80646357,21,01,20221230,0,"13794764  ","13794764        ",AA30,050002,2,"  ",13794764,242688,00
Yes,AA30,060000,01,80646358,21,01,20221230,0,"13792353  ","13792353        ",AA30,050002,2,"  ",13792353,224154,00
Yes,AA30,060000,01,80646359,21,01,20221230,0,"13794969  ","13794969        ",AA30,050002,2,"  ",13794969,244286,00
Yes,AA30,060000,01,80646360,21,01,20221230,0,"13794893  ","13794893        ",AA30,050002,2,"  ",13794893,243669,00
Yes,AA30,060000,01,80646361,21,01,20221230,0,"13794707  ","13794707        ",AA30,050002,2,"  ",13794707,242509,00
Yes,AA30,060000,01,80646362,21,01,20221230,0,"13793991  ","13793991        ",AA30,050002,1,"  ",13793991,236889,00
Yes,AA30,060000,01,80646363,21,01,20221230,0,"13793612  ","13793612        ",AA30,050002,2,"  ",13793612,235004,00
Yes,AA30,060000,01,80646364,21,01,20221230,0,"13794870  ","13794870        ",AA30,050002,2,"  ",13794870,243512,00
Yes,AA30,060000,01,80646365,21,01,20221230,0,"13795416  ","13795416        ",AA30,050002,2,"  ",13795416,247397,00
Yes,AA30,060000,01,80646366,21,01,20221230,0,"13794700  ","13794700        ",AA30,050002,2,"  ",13794700,242473,00
Yes,AA30,060000,01,80646367,21,01,20221230,0,"13795016  ","13795016        ",AA30,050002,2,"  ",13795016,245074,00
Yes,AA30,060000,01,80646368,21,01,20221230,0,"13795011  ","13795011        ",AA30,050002,2,"  ",13795011,245030,00
Yes,AA30,060000,01,80646369,21,01,20221230,0,"13795352  ","13795352        ",AA30,050002,2,"  ",13795352,246918,00
Yes,AA30,060000,01,80646370,21,01,20221230,0,"13795170  ","13795170        ",AA30,050002,2,"  ",13795170,245711,00
Yes,AA30,060000,01,80646371,21,01,20221230,0,"13795131  ","13795131        ",AA30,050002,2,"  ",13795131,245518,00
Yes,AA30,060000,01,80646372,21,01,20221230,0,"13794365  ","13794365        ",AA30,050002,2,"  ",13794365,239956,00
Yes,AA30,060000,01,77500844,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13793963,236696,00
Yes,AA30,060000,01,77500845,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13793963,236696,00
Yes,AA30,060000,01,77500847,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13792858,227720,00
Yes,AA30,060000,01,77500848,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13792858,227720,00
Yes,AA30,060000,01,77500850,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13792935,228199,00
Yes,AA30,060000,01,77500851,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13792935,228199,00
Yes,AA30,060000,01,77500853,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13792883,227899,00
Yes,AA30,060000,01,77500854,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13792883,227899,00
Yes,AA30,060000,01,77500856,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13793091,229238,00
Yes,AA30,060000,01,77500857,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13793091,229238,00
Yes,AA30,060000,01,77500904,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794055,237280,00
Yes,AA30,060000,01,77500905,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795194,245879,00
Yes,AA30,060000,01,77500906,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795316,246703,00
Yes,AA30,060000,01,77500907,32,00,20221230,0,"          ","                ","    ","      ",1,"  ",13795137,245562,00
Yes,AA30,060000,01,77500908,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795532,248050,00
Yes,AA30,060000,01,77500909,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795671,249133,00
Yes,AA30,060000,01,77500910,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795249,246317,00
Yes,AA30,060000,04,77500917,32,00,20221230,0,"          ","                ","    ","      ",1,"  ",13796171,724523,00
Yes,AA30,060000,01,77501011,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794295,239016,00
Yes,AA30,060000,01,77501012,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795012,245041,00
Yes,AA30,060000,01,77501013,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795302,246623,00
Yes,AA30,060000,01,77501014,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795124,245471,00
Yes,AA30,060000,01,77501015,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795133,245530,00
Yes,AA30,060000,01,77501016,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795161,245675,00
Yes,AA30,060000,01,77501017,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795122,245450,00
Yes,AA30,060000,01,77501018,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795183,245788,00
Yes,AA30,060000,01,77501022,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794625,241890,00
Yes,AA30,060000,01,77501023,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13793330,234001,00
Yes,AA30,060000,01,77501024,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13793626,235070,00
Yes,AA30,060000,01,77501025,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795017,245085,00
Yes,AA30,060000,01,77501026,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795189,245835,00
Yes,AA30,060000,01,77501027,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13793628,235092,00
Yes,AA30,060000,01,77501028,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794425,240321,00
Yes,AA30,060000,01,77501029,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794249,238603,00
Yes,AA30,060000,01,77501030,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794412,240220,00
Yes,AA30,060000,01,77501036,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794491,240897,00
Yes,AA30,060000,01,77501037,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794571,241437,00
Yes,AA30,060000,01,77501038,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795116,245391,00
Yes,AA30,060000,01,77501039,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794462,240627,00
Yes,AA30,060000,01,77501040,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795413,247364,00
Yes,AA30,060000,01,77501041,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795152,245631,00
Yes,AA30,060000,01,77501042,32,00,20221230,0,"          ","                ","    ","      ",1,"  ",13795181,245777,00
Yes,AA30,060000,01,77501049,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795113,245370,00
Yes,AA30,060000,01,77501050,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794946,244107,00
Yes,AA30,060000,01,77501051,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794847,243363,00
Yes,AA30,060000,01,77501052,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13793931,236448,00
Yes,AA30,060000,01,77501053,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794940,244049,00
Yes,AA30,060000,01,77501054,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794481,240795,00
Yes,AA30,060000,01,77501055,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794369,239978,00
Yes,AA30,060000,01,77501056,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795201,245948,00
Yes,AA30,060000,01,77501057,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795238,246248,00
Yes,AA30,060000,01,77501058,32,00,20221230,0,"          ","                ","    ","      ",1,"  ",13794633,241947,00
Yes,AA30,060000,01,77501067,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13793804,235933,00
Yes,AA30,060000,01,77501069,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13793804,235933,00
Yes,AA30,060000,01,77501070,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13793804,235933,00
Yes,AA30,060000,01,77501084,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13793612,235004,00
Yes,AA30,060000,01,77501085,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794870,243512,00
Yes,AA30,060000,01,77501086,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795416,247397,00
Yes,AA30,060000,01,77501088,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795016,245074,00
Yes,AA30,060000,01,77501089,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795011,245030,00
Yes,AA30,060000,01,77501090,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795352,246918,00
Yes,AA30,060000,01,77501091,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795170,245711,00
Yes,AA30,060000,01,77501092,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795131,245518,00
Yes,AA30,060000,01,80646203,21,01,20221230,0,"60035452  ","60035452        ",AA30,050002,2,"  ",60035452,245008,00
Yes,AA30,060000,01,80646204,21,01,20221230,0,"60035451  ","60035451        ",AA30,050002,2,"  ",60035451,244990,00
